导出数据总量:202
导出时间:2026-03-19 16:27:05
currency_id,withdrawal_amount,withdrawal_usdt,withdrawal_cnt
260,138.893833,767.2003793359999,12
329,2858.1964000000003,745.8248914200001,9
25,3579.5892999999996,727.8625529099999,56
160,65,716.95,1
537,3674.579,694.7052472000001,7
81,2451.1234,626.492923086,13
112,241.545527,606.725942224,2
187,268.50896,605.614104656,2
479,3992.90234,594.2962259596001,3
198,7021640,593.6094456,1
219,498.0251,557.86599997,8
97,858.7640020000001,553.9586312737,22
418,84728.804739,544.386430227692,3
129,2007.97767,495.568888956,1
122,39120.4725,489.0611307625,2
553,0.0924,436.10319,9
76,0.2638,397.39534269999996,4
320,685.3807899999999,397.3787086,5
336,224.31009999999998,385.27773662,3
388,657.023,372.83546349999995,2
514,764.0019,368.21017658,5
500,1188.0019,353.1479472,2
490,216.75,336.070875,2
10,57.185807,282.269143352,1
228,110,275.33,1
401,195,272.5506,2
489,6.574299999999999,265.14519184,2
130,117.36359700000001,245.07559776099995,14
100,0.033732359999999996,227.101304963,7
497,6360.4555,191.609103828,2
413,780,189.072,1
90,19.223695,184.06012093400003,6
485,703181.7237283001,178.0712708561593,4
459,49.93,176.40269,1
267,26757.050199999998,175.84782854029996,10
195,151.62,172.54356,1
483,164540782822.4043,155.97671309597604,10
270,478.96479999999997,142.77212610500004,14
482,999.5034,142.40631152,4
488,2540.1845,138.96820126,2
492,3367.74564,136.1005667532,3
493,1842.6951,128.9880989172,4
113,2250.370519,117.98175148973999,3
346,1127.3761,116.8840829179,3
282,6776163384,113.29745178048,1
273,3.0987020000000003,110.48920242,2
478,444012.543,102.71078856387,3
337,4800,99.336,1
168,202.4044,77.91156124,2
134,104.5,72.6275,1
11,1.15,60.9155,1
148,5000.5473,58.901030611,3
495,3529.99098,53.3885694448,3
316,79.55046,48.452108686,2
342,355.082791,40.4084216158,1
430,895.826747,38.7892981451,1
509,101.45,34.92819757,7
17,40,25.7926,2
460,80,25.12,1
498,43.9372,24.885473179999998,3
167,95.5471,22.94085871,1
432,5905.15938194,20.09525737674182,1
583,156.19404,19.7605654276,2
338,0.97014,19.6841406,1
188,31.7152,19.31772832,1
223,101.0909,18.756405586,1
174,52.77441,16.808649585,1
525,277.1316,16.6728576,3
350,20.837,11.2394778,1
12,32.8541,8.94945684,1
381,7.227,8.3891016,1
335,52.7966,6.62069364,1
463,25.094978,5.7693354422,1
98,8.79,5.517483,1
137,9.3835,1.970535,1
494,127.78066000000001,1.7811350534,2
502,281.71799999999996,0,2
524,29.976,0,1
499,19.009,0,1
503,261.46645,0,1
512,14.7084,0,1
426,925232.062886,0,22
484,8.4405,0,1
504,90.3956,0,1
516,2418.66,0,2
551,0.44,0,1
506,3666.268251,0,1
518,1581.75715,0,1
569,2508.599800000001,0,14
480,13.215,0,1
487,673.286,0,1
507,113.85,0,1
519,302.72167,0,1
357,6.682,0,1
508,656.0327,0,1
542,380.44320804,0,1
49,0.9984,0,1
471,733.6,0,1
476,1.4,0,1
481,25.8319,0,1
